-agu:-ugaseru
ならぶ	並ぶ	ならべる	並べる
ならぶ	列ぶ	ならべる	列べる
かがむ	かがむ	かがめる	かがめる
かがむ	屈む	かがめる	屈める
ゆがむ	ゆがむ	ゆがめる	ゆがめる
ゆがむ	歪む	ゆがめる	歪める
すくむ	すくむ	すくめる	すくめる
すくむ	竦む	すくめる	竦める
ぬくむ	ぬくむ	ぬくめる	ぬくめる
ぬくむ	温む	ぬくめる	温める
ふくむ	含む	ふくめる	含める
こむ	こむ	こめる	こめる
こむ	込む	こめる	込める
かなしむ	悲しむ	かなしめる	悲しめる
いやしむ	いやしむ	いやしめる	いやしめる
いやしむ	卑しむ	いやしめる	卑しめる
いやしむ	賤しむ	いやしめる	賤しめる
くるしむ	苦しむ	くるしめる	苦しめる
すすむ	進む	すすめる	進める
やすむ	休む	やすめる	休める
しずむ	沈む	しずめる	沈める
ひそむ	ひそむ	ひそめる	ひそめる
ひそむ	潜む	ひそめる	潜める
いたむ	いたむ	いためる	いためる
いたむ	傷む	いためる	傷める
いたむ	痛む	いためる	痛める
ちぢむ	縮む	ちぢめる	縮める
つむ	詰む	つめる	詰める
くぼむ	くぼむ	くぼめる	くぼめる
くぼむ	凹む	くぼめる	凹める
くぼむ	窪む	くぼめる	窪める
すぼむ	すぼむ	すぼめる	すぼめる
すぼむ	窄む	すぼめる	窄める
つぼむ	つぼむ	つぼめる	つぼめる
つぼむ	窄む	つぼめる	窄める
もむ	もむ	もめる	もめる
もむ	揉む	もめる	揉める
やむ	やむ	やめる	やめる
やむ	止む	やめる	止める
あからむ	赤らむ	あからめる	赤らめる
からむ	からむ	からめる	からめる
からむ	絡む	からめる	絡める
ゆるむ	ゆるむ	ゆるめる	ゆるめる
ゆるむ	弛む	ゆるめる	弛める
ゆるむ	緩む	ゆるめる	緩める
たわむ	たわむ	たわめる	たわめる
いる	入る	いれる	入れる
うる	売る	うれる	売れる	i
おる	折る	おれる	折れる	i
はばかる	はばかる	はばかれる	はばかれる	i
はばかる	憚る	はばかれる	憚れる	i
きる	切る	きれる	切れる	i
ちぎる	ちぎる	ちぎれる	ちぎれる	i
ひねくる	ひねくる	ひねくれる	ひねくれる	i
ひねくる	捻くる	ひねくれる	捻くれる	i
まくる	まくる	まくれる	まくれる	i
まくる	捲る	まくれる	捲れる	i
めくる	めくる	めくれる	めくれる	i
めくる	捲る	めくれる	捲れる	i
しゃくる	しゃくる	しゃくれる	しゃくれる	i
えぐる	えぐる	えぐれる	えぐれる	i
えぐる	抉る	えぐれる	抉れる		i
しる	知る	しれる	知れる	i
ねじる	ねじる	ねじれる	ねじれる	i
ねじる	捩る	ねじれる	捩れる	i
ねじる	捻る	ねじれる	捻れる	i
よじる	よじる	よじれる	よじれる	i
